order_id,order_date,customer_id,product_id,product_category,region,channel,salesperson,quantity,unit_price,discount,unit_cost,sales_amount,total_cost,profit,tax,payment_type,is_returned,gross_revenue,margin_pct
ORD100000,31-01-2025,CUST1329,PROD290,Beauty,Central,Wholesale,SP_2,1,1922.47,0,1219.16,1922.47,1219.16,703.31,346.04,Wallet,0,2268.51,0.3658
ORD100001,10-05-2024,CUST1774,PROD329,Beauty,North,Partner,SP_18,3,782.02,0,453.68,2346.06,1361.04,985.02,117.3,Debit Card,0,2463.36,0.4199
ORD100002,18-07-2025,CUST1672,PROD362,Toys,North,Retail,SP_19,2,774.1,0.15,630.15,1315.97,1260.3,55.67,0,Credit Card,0,1315.97,0.0423
ORD100003,04-02-2025,CUST1150,PROD219,Sports,South,Wholesale,SP_8,3,684.07,0,554.21,2052.21,1662.63,389.58,369.4,Debit Card,0,2421.61,0.1898
ORD100004,31-12-2024,CUST1084,PROD209,Beauty,South,Retail,SP_3,3,1085.11,0,711.46,3255.33,2134.38,1120.95,162.77,Wallet,0,3418.1,0.3443
ORD100005,10-11-2024,CUST1146,PROD224,Toys,Central,Retail,SP_23,5,312.52,0,225.93,1562.6,1129.65,432.95,187.51,Credit Card,0,1750.11,0.2771
ORD100006,02-05-2022,CUST1623,PROD393,Toys,Central,Wholesale,SP_26,3,1109.65,0,801.07,3328.95,2403.21,925.74,599.21,Debit Card,0,3928.16,0.2781
ORD100007,12-04-2023,CUST1380,PROD224,Toys,Central,Online,SP_14,1,1085.7,0.05,892.69,1031.42,892.69,138.73,185.66,Net 30,0,1217.08,0.1345
ORD100008,23-05-2025,CUST1547,PROD253,Beauty,West,Online,SP_26,2,1524.99,0,977.9,3049.98,1955.8,1094.18,549,Net 30,0,3598.98,0.3587
ORD100009,27-11-2022,CUST1284,PROD232,Beauty,West,Retail,SP_9,5,1668.13,0,957.42,8340.65,4787.1,3553.55,417.03,Credit Card,0,8757.68,0.4261
ORD100010,29-03-2022,CUST1699,PROD363,Beauty,South,Wholesale,SP_29,1,883.68,0.05,503.05,839.5,503.05,336.45,100.74,UPI,0,940.24,0.4008
ORD100011,28-01-2025,CUST1081,PROD294,Home & Kitchen,South,Online,SP_8,1,608.15,0,420.41,608.15,420.41,187.74,30.41,Credit Card,0,638.56,0.3087
ORD100012,21-05-2024,CUST1513,PROD213,Toys,Central,Partner,SP_17,4,522.37,0.1,340.65,1880.53,1362.6,517.93,225.66,Debit Card,0,2106.19,0.2754
ORD100013,11-05-2022,CUST1708,PROD264,Home & Kitchen,West,Retail,SP_23,1,393.27,0.05,254.86,373.61,254.86,118.75,67.25,Cash,0,440.86,0.3178
ORD100014,25-08-2025,CUST1522,PROD309,Clothing,East,Online,SP_23,2,120.01,0,58.93,240.02,117.86,122.16,12,Net 30,1,252.02,0.509
ORD100015,09-02-2024,CUST1745,PROD279,Beauty,West,Wholesale,SP_24,1,688.18,0.05,532.22,653.77,532.22,121.55,78.45,Cash,0,732.22,0.1859
ORD100016,10-12-2022,CUST1385,PROD253,Grocery,South,Wholesale,SP_16,2,544.14,0,297.2,1088.28,594.4,493.88,130.59,Net 30,0,1218.87,0.4538
ORD100017,16-03-2024,CUST1706,PROD324,Sports,West,Retail,SP_10,3,1933,0.05,1041.17,5509.05,3123.51,2385.54,661.09,Debit Card,0,6170.14,0.433
ORD100018,21-01-2023,CUST1470,PROD379,Electronics,South,Wholesale,SP_21,4,1117.63,0,710.52,4470.52,2842.08,1628.44,804.69,Net 30,0,5275.21,0.3643
ORD100019,30-04-2025,CUST1118,PROD330,Clothing,Central,Partner,SP_10,2,697.82,0,385.55,1395.64,771.1,624.54,0,Credit Card,0,1395.64,0.4475
ORD100020,13-08-2024,CUST1395,PROD368,Grocery,Central,Partner,SP_25,3,1163.03,0.05,828.93,3314.64,2486.79,827.85,397.76,Cash,0,3712.4,0.2498
ORD100021,04-10-2022,CUST1531,PROD333,Electronics,Central,Online,SP_25,3,282.7,0.15,174.47,720.88,523.41,197.47,129.76,Wallet,0,850.64,0.2739
ORD100022,30-03-2025,CUST1260,PROD224,Electronics,East,Wholesale,SP_24,1,890.87,0.2,580.86,712.7,580.86,131.84,85.52,Cash,0,798.22,0.185
ORD100023,05-04-2023,CUST1255,PROD340,Beauty,East,Partner,SP_6,4,1254.34,0.05,867.66,4766.49,3470.64,1295.85,0,Debit Card,0,4766.49,0.2719
ORD100024,30-08-2025,CUST1733,PROD316,Sports,South,Retail,SP_22,2,980.35,0,530.95,1960.7,1061.9,898.8,235.28,Wallet,1,2195.98,0.4584
ORD100025,22-01-2022,CUST1225,PROD335,Electronics,North,Wholesale,SP_17,5,806.55,0,419.48,4032.75,2097.4,1935.35,201.64,Cash,0,4234.39,0.4799
ORD100026,10-09-2022,CUST1052,PROD348,Toys,East,Online,SP_29,7,1987.73,0,1682,13914.11,11774,2140.11,695.71,Debit Card,0,14609.82,0.1538
ORD100027,18-01-2024,CUST1499,PROD395,Grocery,South,Retail,SP_16,3,1761.23,0,1136.3,5283.69,3408.9,1874.79,951.06,UPI,0,6234.75,0.3548
ORD100028,06-05-2024,CUST1505,PROD224,Electronics,West,Retail,SP_15,5,1248.69,0,793.47,6243.45,3967.35,2276.1,749.21,Credit Card,0,6992.66,0.3646
ORD100029,20-04-2023,CUST1363,PROD278,Clothing,Central,Retail,SP_22,2,1140.91,0.15,531.69,1939.55,1063.38,876.17,349.12,Net 30,0,2288.67,0.4517
ORD100030,18-12-2024,CUST1279,PROD267,Sports,Central,Partner,SP_14,3,1243.22,0,838.04,3729.66,2514.12,1215.54,671.34,Net 30,0,4401,0.3259
ORD100031,26-05-2023,CUST1592,PROD372,Sports,Central,Retail,SP_4,4,406.62,0,284.38,1626.48,1137.52,488.96,195.18,Net 30,0,1821.66,0.3006
ORD100032,01-12-2023,CUST1713,PROD387,Electronics,South,Partner,SP_4,2,793.3,0,556.48,1586.6,1112.96,473.64,0,UPI,0,1586.6,0.2985
ORD100033,02-09-2024,CUST1157,PROD211,Sports,Central,Retail,SP_30,1,83.72,0.1,64.31,75.35,64.31,11.04,9.04,Credit Card,0,84.39,0.1465
ORD100034,09-07-2022,CUST1631,PROD231,Clothing,East,Partner,SP_2,2,953.71,0.05,505.34,1812.05,1010.68,801.37,90.6,Cash,0,1902.65,0.4422
ORD100035,15-08-2024,CUST1058,PROD327,Grocery,West,Wholesale,SP_29,3,1088.33,0.05,613.27,3101.74,1839.81,1261.93,558.31,Cash,0,3660.05,0.4068
ORD100036,18-11-2023,CUST1726,PROD295,Clothing,Central,Partner,SP_11,3,459.36,0,374.3,1378.08,1122.9,255.18,68.9,Credit Card,0,1446.98,0.1852
ORD100037,15-08-2024,CUST1127,PROD291,Clothing,South,Partner,SP_30,8,1928.24,0.1,1689.58,13883.33,13516.64,366.69,694.17,Wallet,0,14577.5,0.0264
ORD100038,17-07-2023,CUST1735,PROD340,Toys,West,Wholesale,SP_4,1,1819.36,0,930,1819.36,930,889.36,218.32,Credit Card,0,2037.68,0.4888
ORD100039,21-06-2025,CUST1720,PROD230,Beauty,Central,Retail,SP_21,3,1445.68,0.15,974.3,3686.48,2922.9,763.58,184.32,Net 30,0,3870.8,0.2071
ORD100040,11-04-2024,CUST1114,PROD277,Electronics,North,Wholesale,SP_29,5,1069.11,0.05,584.14,5078.27,2920.7,2157.57,253.91,Cash,0,5332.18,0.4249
